user_id,total_watch_time_mins,avg_session_duration_mins,number_of_sessions,viewing_frequency_per_week,completion_rate,weekend_viewing_ratio,genre_action_ratio,genre_comedy_ratio,genre_drama_ratio,genre_thriller_ratio,genre_scifi_ratio,genre_romance_ratio,genre_horror_ratio,genre_animation_ratio,top_genre
USR-1213,3460.6,106.7,19,10.8,0.82,0.36,0.503,0.03,0.033,0.253,0.171,0.0,0.001,0.009,Action
USR-1214,3073.9,122.4,32,9.6,0.88,0.53,0.488,0.0,0.004,0.38,0.105,0.007,0.016,0.0,Action
USR-1215,3503.6,76.8,27,9.4,0.83,0.43,0.494,0.071,0.0,0.234,0.176,0.013,0.003,0.009,Action
USR-1216,2890.9,113.5,24,10.9,0.86,0.42,0.422,0.062,0.022,0.28,0.192,0.01,0.012,0.0,Action
USR-1217,3105.3,121.6,33,9.1,0.96,0.25,0.375,0.035,0.03,0.349,0.189,0.014,0.008,0.0,Action
USR-1218,3005.9,87.8,31,9.9,0.77,0.51,0.39,0.038,0.021,0.367,0.135,0.026,0.007,0.016,Action
USR-1219,3232.7,127.2,27,10.0,0.94,0.33,0.445,0.016,0.006,0.332,0.164,0.006,0.017,0.015,Action
USR-1220,4125.9,115.1,23,8.5,0.96,0.46,0.399,0.079,0.024,0.348,0.13,0.014,0.0,0.007,Action
USR-1221,2453.1,103.8,34,11.0,0.84,0.48,0.361,0.075,0.034,0.317,0.178,0.005,0.029,0.0,Action
USR-1222,3474.5,119.5,33,9.2,0.68,0.59,0.446,0.04,0.027,0.283,0.202,0.001,0.0,0.0,Action
USR-1223,2554.9,144.1,29,8.4,0.8,0.32,0.413,0.056,0.031,0.309,0.178,0.004,0.004,0.006,Action
USR-1224,3011.2,112.7,39,10.3,0.95,0.15,0.554,0.053,0.02,0.181,0.148,0.006,0.017,0.02,Action
USR-1225,3635.6,113.7,24,8.2,0.85,0.47,0.409,0.014,0.056,0.297,0.173,0.014,0.017,0.02,Action
USR-1226,3225.7,103.1,22,9.5,0.77,0.63,0.464,0.034,0.007,0.338,0.106,0.036,0.01,0.005,Action
USR-1227,2768.9,97.3,26,9.5,0.81,0.57,0.43,0.049,0.045,0.264,0.198,0.003,0.011,0.0,Action
USR-1228,2913.9,122.5,29,11.1,0.92,0.47,0.461,0.027,0.047,0.286,0.149,0.005,0.012,0.011,Action
USR-1229,3471.8,97.2,31,10.2,0.89,0.4,0.538,0.036,0.04,0.291,0.076,0.009,0.008,0.002,Action
USR-1230,2907.9,111.1,28,9.5,0.83,0.53,0.329,0.042,0.028,0.442,0.113,0.015,0.026,0.005,Thriller
USR-1231,3286.6,102.8,31,10.7,0.82,0.35,0.368,0.038,0.019,0.386,0.136,0.012,0.018,0.023,Thriller
USR-1232,3218.2,117.2,23,11.6,0.82,0.5,0.37,0.046,0.057,0.305,0.155,0.026,0.021,0.02,Action
USR-1233,2939.4,115.0,37,10.3,0.78,0.5,0.484,0.023,0.002,0.354,0.124,0.0,0.0,0.014,Action
USR-1234,4057.6,125.6,29,9.5,0.98,0.56,0.467,0.027,0.011,0.311,0.174,0.0,0.01,0.0,Action
USR-1235,3453.6,102.3,35,7.5,0.82,0.73,0.404,0.017,0.027,0.33,0.193,0.006,0.008,0.015,Action
USR-1236,2389.9,106.0,31,7.9,0.95,0.49,0.382,0.06,0.056,0.316,0.144,0.021,0.0,0.021,Action
USR-1237,3274.6,95.3,32,9.0,0.97,0.4,0.461,0.0,0.047,0.318,0.149,0.0,0.017,0.008,Action
USR-1238,2935.3,103.3,32,8.6,0.93,0.45,0.47,0.064,0.011,0.234,0.193,0.0,0.005,0.024,Action
USR-1239,3541.0,115.7,32,9.2,0.82,0.27,0.394,0.059,0.021,0.292,0.187,0.014,0.014,0.02,Action
USR-1240,2883.0,121.4,33,9.6,0.88,0.38,0.412,0.036,0.019,0.355,0.137,0.013,0.0,0.028,Action
USR-1241,3154.1,96.2,36,10.3,0.85,0.41,0.517,0.0,0.018,0.281,0.14,0.0,0.03,0.015,Action
USR-1242,3402.0,123.0,30,9.4,0.78,0.4,0.395,0.032,0.048,0.344,0.165,0.0,0.001,0.015,Action
USR-1243,3546.3,130.3,33,10.2,0.88,0.47,0.474,0.043,0.003,0.29,0.15,0.0,0.013,0.027,Action
USR-1244,2719.9,116.2,29,9.6,0.76,0.37,0.499,0.017,0.053,0.27,0.124,0.01,0.015,0.012,Action
USR-1245,3066.2,138.2,37,6.5,0.95,0.56,0.474,0.025,0.04,0.297,0.153,0.003,0.004,0.004,Action
USR-1246,3010.0,98.4,26,8.1,0.81,0.45,0.394,0.08,0.059,0.339,0.084,0.017,0.021,0.006,Action
USR-1247,2938.7,91.3,39,9.3,0.87,0.45,0.456,0.047,0.018,0.289,0.179,0.0,0.0,0.011,Action
USR-1248,3906.2,83.3,29,7.7,0.87,0.42,0.509,0.021,0.027,0.266,0.151,0.001,0.024,0.0,Action
USR-1249,3362.0,132.4,22,10.4,0.83,0.47,0.443,0.01,0.002,0.357,0.165,0.0,0.013,0.011,Action
USR-1250,2695.6,119.8,30,11.8,0.9,0.53,0.498,0.032,0.019,0.278,0.141,0.007,0.004,0.02,Action
USR-1251,3567.1,109.2,26,11.3,0.81,0.36,0.539,0.034,0.037,0.24,0.14,0.004,0.007,0.0,Action
USR-1252,4048.9,114.2,34,9.2,0.92,0.38,0.401,0.056,0.062,0.322,0.09,0.02,0.02,0.028,Action
USR-1253,3613.0,93.1,26,11.7,0.74,0.42,0.44,0.034,0.009,0.242,0.245,0.0,0.005,0.025,Action
USR-1254,2592.3,146.7,27,9.7,0.86,0.32,0.509,0.048,0.022,0.259,0.145,0.01,0.002,0.005,Action
USR-1255,3006.3,111.9,20,9.0,1.0,0.37,0.442,0.074,0.025,0.265,0.157,0.015,0.007,0.014,Action
USR-1256,3706.8,111.6,27,8.6,0.77,0.4,0.464,0.053,0.002,0.268,0.177,0.027,0.0,0.009,Action
USR-1257,2916.9,120.9,17,9.0,0.8,0.54,0.473,0.039,0.041,0.283,0.108,0.005,0.028,0.022,Action
USR-1258,3377.5,117.2,22,8.9,0.89,0.48,0.465,0.035,0.015,0.286,0.163,0.013,0.004,0.019,Action
USR-1259,3509.9,113.4,33,9.8,0.86,0.47,0.387,0.037,0.029,0.37,0.157,0.0,0.021,0.0,Action
USR-1260,2829.2,98.1,33,9.7,0.88,0.54,0.451,0.054,0.018,0.298,0.155,0.0,0.01,0.013,Action
USR-1261,3176.2,117.1,32,9.5,0.89,0.44,0.58,0.029,0.015,0.278,0.069,0.02,0.0,0.008,Action
USR-1262,1903.5,138.2,25,10.2,0.9,0.49,0.476,0.045,0.033,0.251,0.161,0.011,0.011,0.012,Action
USR-1263,2790.2,130.2,29,11.3,0.94,0.44,0.486,0.045,0.028,0.258,0.137,0.024,0.019,0.003,Action
USR-1264,3099.0,133.9,29,10.9,0.88,0.48,0.384,0.035,0.026,0.317,0.196,0.0,0.01,0.032,Action
USR-1265,2700.9,102.3,24,7.3,0.83,0.39,0.479,0.012,0.015,0.272,0.165,0.015,0.021,0.02,Action
USR-1266,3853.0,95.2,37,5.7,0.9,0.21,0.493,0.046,0.036,0.252,0.121,0.029,0.02,0.003,Action
USR-1267,2627.9,108.1,34,10.9,1.0,0.44,0.482,0.042,0.068,0.241,0.132,0.015,0.021,0.0,Action
USR-1268,3024.0,110.8,28,7.4,0.84,0.59,0.507,0.047,0.031,0.256,0.137,0.012,0.005,0.006,Action
USR-1269,3252.3,126.4,30,9.2,0.77,0.54,0.445,0.031,0.052,0.327,0.12,0.011,0.0,0.015,Action
USR-1270,3776.5,84.6,31,7.7,0.94,0.55,0.451,0.059,0.002,0.306,0.167,0.0,0.004,0.011,Action
USR-1271,2625.7,132.9,19,6.8,0.84,0.57,0.417,0.025,0.038,0.302,0.153,0.027,0.014,0.025,Action
USR-1272,3665.3,107.6,28,10.3,0.68,0.46,0.511,0.085,0.009,0.314,0.038,0.004,0.018,0.02,Action
USR-1273,3204.1,103.6,26,10.6,0.92,0.47,0.51,0.006,0.001,0.286,0.158,0.018,0.0,0.023,Action
USR-1274,2807.4,94.8,24,8.6,0.81,0.39,0.487,0.051,0.016,0.31,0.113,0.0,0.01,0.014,Action
USR-1275,3384.8,85.2,28,5.6,0.84,0.42,0.484,0.057,0.062,0.287,0.098,0.0,0.013,0.0,Action
USR-1276,3279.6,122.3,38,8.7,0.88,0.51,0.445,0.024,0.05,0.339,0.102,0.025,0.007,0.008,Action
USR-1277,2959.9,111.1,33,10.1,0.87,0.57,0.518,0.049,0.035,0.193,0.155,0.007,0.023,0.021,Action
USR-1278,3227.9,90.7,27,7.3,0.91,0.44,0.411,0.065,0.0,0.276,0.201,0.024,0.014,0.009,Action
USR-1279,3045.9,90.6,32,9.8,0.82,0.4,0.367,0.0,0.03,0.363,0.186,0.011,0.026,0.017,Action
USR-1280,3245.4,105.0,36,9.5,0.89,0.45,0.523,0.044,0.032,0.276,0.112,0.0,0.007,0.006,Action
USR-1281,3464.9,135.0,34,10.4,0.83,0.51,0.444,0.0,0.027,0.366,0.133,0.015,0.015,0.0,Action
USR-1282,3834.4,106.1,30,9.7,0.91,0.31,0.403,0.024,0.0,0.374,0.153,0.005,0.031,0.01,Action
USR-1283,2704.9,87.5,26,8.0,0.9,0.22,0.503,0.072,0.012,0.239,0.122,0.017,0.023,0.013,Action
USR-1284,4053.2,106.3,33,11.3,0.78,0.39,0.466,0.032,0.033,0.335,0.118,0.012,0.0,0.004,Action
USR-1285,2419.2,105.9,31,9.3,0.94,0.33,0.577,0.02,0.05,0.237,0.098,0.0,0.009,0.009,Action
USR-1286,3139.3,69.5,34,9.5,0.81,0.4,0.494,0.038,0.0,0.308,0.14,0.012,0.007,0.001,Action
USR-1287,3435.3,109.2,33,8.1,0.91,0.44,0.425,0.08,0.026,0.247,0.154,0.032,0.015,0.021,Action
USR-1288,3312.4,106.5,35,8.8,0.88,0.4,0.402,0.003,0.034,0.368,0.152,0.015,0.018,0.007,Action
USR-1289,2950.9,120.4,27,8.2,1.0,0.6,0.44,0.021,0.052,0.298,0.149,0.011,0.002,0.027,Action
USR-1290,3116.8,137.7,36,9.2,0.83,0.48,0.396,0.073,0.046,0.308,0.118,0.022,0.011,0.027,Action
USR-1291,3002.8,126.9,30,12.1,0.82,0.48,0.4,0.08,0.043,0.273,0.182,0.013,0.0,0.01,Action
USR-1292,2964.3,106.0,40,7.4,0.85,0.51,0.43,0.037,0.014,0.391,0.094,0.012,0.024,0.0,Action
USR-1293,3539.8,93.4,26,7.1,0.83,0.34,0.449,0.017,0.0,0.321,0.207,0.0,0.006,0.0,Action
USR-1294,3342.8,148.6,38,11.7,0.91,0.55,0.438,0.071,0.019,0.356,0.095,0.011,0.009,0.0,Action
USR-1295,2922.8,110.9,30,9.2,0.72,0.44,0.479,0.061,0.042,0.294,0.101,0.017,0.006,0.0,Action
USR-1296,3559.8,110.2,26,8.5,0.77,0.52,0.411,0.055,0.059,0.335,0.093,0.002,0.022,0.024,Action
USR-1297,3322.9,109.6,27,11.1,0.76,0.34,0.458,0.023,0.043,0.314,0.127,0.024,0.0,0.011,Action
USR-1298,3525.1,113.0,28,8.6,0.93,0.29,0.44,0.035,0.035,0.291,0.17,0.008,0.009,0.012,Action
USR-1299,3451.9,107.8,32,12.2,0.99,0.53,0.526,0.04,0.041,0.199,0.184,0.001,0.01,0.0,Action
USR-1300,2868.4,101.4,32,10.5,0.84,0.49,0.447,0.046,0.019,0.278,0.186,0.02,0.005,0.0,Action
USR-1301,2975.9,101.8,27,8.8,0.84,0.36,0.431,0.058,0.023,0.297,0.145,0.006,0.023,0.016,Action
USR-1302,3498.9,109.5,29,12.7,0.86,0.36,0.468,0.055,0.061,0.285,0.101,0.017,0.001,0.012,Action
USR-1303,3444.1,101.8,40,8.6,0.94,0.56,0.458,0.024,0.015,0.281,0.178,0.009,0.023,0.011,Action
USR-1304,3191.6,99.3,38,10.6,0.78,0.33,0.471,0.061,0.056,0.269,0.108,0.009,0.012,0.014,Action
USR-1305,3246.9,111.6,32,9.9,0.87,0.61,0.413,0.037,0.019,0.319,0.161,0.012,0.018,0.021,Action
USR-1306,3711.1,106.2,30,11.5,0.93,0.36,0.389,0.054,0.056,0.375,0.102,0.013,0.003,0.008,Action
USR-1307,2963.4,132.6,30,11.8,0.89,0.51,0.444,0.068,0.002,0.291,0.182,0.0,0.003,0.01,Action
USR-1308,3418.8,70.2,33,9.5,0.87,0.42,0.443,0.016,0.037,0.313,0.163,0.0,0.018,0.01,Action
USR-1309,3119.1,126.4,24,8.4,0.93,0.51,0.41,0.037,0.014,0.263,0.211,0.018,0.013,0.032,Action
USR-1310,3112.9,128.7,28,10.2,0.63,0.4,0.591,0.032,0.002,0.218,0.147,0.01,0.0,0.0,Action
USR-1311,3639.5,78.9,21,8.5,0.9,0.43,0.565,0.008,0.03,0.216,0.158,0.004,0.004,0.015,Action
USR-1312,3530.2,104.9,31,12.5,0.8,0.45,0.339,0.041,0.044,0.345,0.211,0.0,0.012,0.008,Thriller
USR-1313,3525.4,104.4,33,9.7,0.7,0.35,0.383,0.102,0.015,0.32,0.141,0.0,0.021,0.018,Action
USR-1314,3722.2,88.9,27,9.0,0.89,0.52,0.553,0.004,0.0,0.333,0.103,0.0,0.004,0.004,Action
USR-1315,3208.4,98.3,37,9.8,0.96,0.4,0.534,0.041,0.03,0.297,0.079,0.009,0.0,0.01,Action
USR-1316,3472.8,93.3,23,7.5,0.84,0.43,0.378,0.046,0.025,0.363,0.156,0.004,0.013,0.015,Action
USR-1317,3075.9,136.3,22,8.0,0.93,0.35,0.487,0.036,0.035,0.342,0.064,0.0,0.0,0.035,Action
USR-1318,3329.7,124.0,31,11.3,0.98,0.19,0.334,0.037,0.048,0.422,0.132,0.009,0.0,0.018,Thriller
USR-1319,3147.9,129.1,35,8.5,0.96,0.43,0.495,0.014,0.028,0.284,0.164,0.013,0.0,0.001,Action
USR-1320,3238.8,120.8,38,7.9,0.98,0.69,0.385,0.043,0.064,0.305,0.151,0.03,0.017,0.006,Action
USR-1321,3438.1,93.1,27,10.3,0.91,0.53,0.565,0.024,0.033,0.201,0.161,0.0,0.011,0.005,Action
USR-1322,2872.7,102.1,35,11.3,0.86,0.45,0.504,0.0,0.019,0.321,0.131,0.018,0.006,0.0,Action
USR-1323,4037.0,117.3,29,10.6,0.72,0.42,0.416,0.068,0.0,0.246,0.215,0.021,0.026,0.007,Action
USR-1324,2797.6,91.7,29,11.0,0.83,0.45,0.427,0.062,0.026,0.329,0.118,0.002,0.017,0.018,Action
USR-1325,2714.3,120.7,34,8.4,0.78,0.5,0.53,0.042,0.024,0.239,0.126,0.012,0.027,0.0,Action
USR-1326,3663.2,106.4,33,7.4,1.0,0.33,0.454,0.048,0.053,0.287,0.129,0.006,0.0,0.022,Action
USR-1327,3516.7,104.4,22,11.8,0.84,0.56,0.439,0.06,0.039,0.246,0.18,0.012,0.009,0.015,Action
USR-1328,3449.6,120.7,37,9.0,0.86,0.52,0.461,0.045,0.007,0.269,0.19,0.026,0.0,0.003,Action
USR-1329,3451.3,116.7,36,9.1,0.89,0.52,0.346,0.068,0.039,0.313,0.196,0.019,0.009,0.01,Action
USR-1330,3195.1,104.6,26,11.5,0.85,0.49,0.432,0.033,0.042,0.257,0.19,0.015,0.007,0.025,Action
USR-1331,2841.1,127.4,31,10.3,0.99,0.45,0.389,0.065,0.06,0.345,0.101,0.006,0.016,0.017,Action
USR-1332,3230.3,93.8,32,10.2,0.8,0.52,0.421,0.048,0.049,0.24,0.222,0.0,0.011,0.01,Action
USR-1333,2929.1,119.2,31,12.7,0.87,0.51,0.467,0.036,0.037,0.259,0.174,0.007,0.013,0.006,Action
USR-1334,3590.0,118.9,27,8.5,0.79,0.41,0.35,0.015,0.031,0.374,0.18,0.022,0.017,0.011,Thriller
USR-1335,3141.2,105.4,26,10.9,0.74,0.39,0.458,0.041,0.034,0.239,0.197,0.0,0.028,0.004,Action
USR-1336,2869.8,114.9,29,9.6,0.8,0.46,0.501,0.027,0.064,0.301,0.098,0.0,0.008,0.0,Action
USR-1337,3071.4,91.2,35,9.9,0.85,0.6,0.467,0.03,0.004,0.313,0.141,0.012,0.001,0.033,Action
USR-1338,3365.2,123.9,32,11.8,0.82,0.33,0.477,0.022,0.021,0.345,0.112,0.0,0.012,0.011,Action
USR-1339,2974.5,107.2,28,10.3,0.79,0.3,0.468,0.018,0.014,0.306,0.176,0.002,0.002,0.014,Action
USR-1340,2871.1,102.2,33,10.3,0.74,0.47,0.48,0.08,0.036,0.26,0.105,0.006,0.024,0.009,Action
USR-1341,3297.5,125.7,15,11.1,0.84,0.46,0.452,0.057,0.047,0.282,0.154,0.0,0.006,0.002,Action
USR-1342,3298.0,99.4,35,9.0,0.73,0.47,0.436,0.081,0.019,0.241,0.211,0.0,0.004,0.008,Action
USR-1343,2997.2,88.9,21,8.2,0.91,0.47,0.419,0.016,0.0,0.356,0.186,0.018,0.006,0.0,Action
USR-1344,3011.6,86.7,28,7.9,0.86,0.43,0.377,0.043,0.023,0.337,0.168,0.0,0.018,0.034,Action
USR-1345,3292.8,119.1,24,6.6,0.73,0.6,0.453,0.017,0.057,0.332,0.13,0.0,0.01,0.0,Action
USR-1346,2620.8,90.8,23,12.6,0.83,0.29,0.609,0.023,0.036,0.222,0.103,0.003,0.003,0.0,Action
USR-1347,2637.0,136.3,35,7.8,0.79,0.37,0.497,0.02,0.035,0.223,0.181,0.016,0.024,0.005,Action
USR-1348,2912.6,78.8,27,9.2,0.88,0.44,0.35,0.066,0.025,0.34,0.185,0.008,0.001,0.023,Action
USR-1349,3114.6,135.4,31,9.1,0.96,0.29,0.371,0.035,0.005,0.402,0.16,0.006,0.011,0.011,Thriller
USR-1350,3324.4,113.2,29,10.0,0.7,0.43,0.483,0.061,0.04,0.259,0.132,0.01,0.016,0.0,Action
USR-1351,3790.1,108.5,32,10.7,0.86,0.62,0.505,0.053,0.014,0.335,0.071,0.0,0.0,0.023,Action
USR-1352,3543.1,101.8,30,10.8,0.84,0.45,0.503,0.088,0.075,0.178,0.109,0.015,0.015,0.018,Action
USR-1353,3136.0,116.0,23,8.6,0.9,0.47,0.429,0.01,0.041,0.264,0.226,0.014,0.0,0.015,Action
USR-1354,3192.4,109.4,34,9.2,0.87,0.32,0.457,0.068,0.019,0.31,0.103,0.006,0.019,0.018,Action
USR-1355,2799.0,126.5,27,9.9,0.79,0.39,0.47,0.062,0.018,0.242,0.155,0.02,0.0,0.033,Action
USR-1356,3192.6,111.7,22,9.1,0.82,0.41,0.462,0.021,0.028,0.247,0.193,0.0,0.017,0.032,Action
USR-1357,3084.5,112.3,27,11.9,0.79,0.42,0.357,0.079,0.033,0.341,0.131,0.028,0.028,0.004,Action
USR-1358,3329.1,104.5,37,10.2,0.94,0.58,0.406,0.044,0.049,0.299,0.148,0.011,0.018,0.025,Action
USR-1359,2869.1,109.1,34,10.6,0.85,0.51,0.398,0.037,0.035,0.301,0.195,0.007,0.013,0.014,Action
USR-1360,924.9,19.7,38,5.4,0.63,0.58,0.074,0.402,0.048,0.041,0.03,0.254,0.028,0.123,Comedy
USR-1361,596.2,27.1,30,7.9,0.56,0.23,0.043,0.324,0.036,0.033,0.002,0.239,0.026,0.296,Comedy
USR-1362,824.4,16.5,17,7.0,0.78,0.34,0.032,0.468,0.078,0.009,0.018,0.131,0.007,0.257,Comedy
USR-1363,728.1,22.2,42,5.1,0.74,0.53,0.071,0.381,0.015,0.068,0.014,0.208,0.015,0.228,Comedy
USR-1364,974.2,23.4,38,7.6,0.59,0.56,0.051,0.53,0.0,0.053,0.011,0.07,0.0,0.284,Comedy
USR-1365,1010.7,33.4,23,8.0,0.7,0.51,0.03,0.389,0.042,0.05,0.0,0.188,0.008,0.294,Comedy
USR-1366,538.8,23.6,30,6.3,0.7,0.36,0.073,0.381,0.03,0.026,0.0,0.169,0.007,0.313,Comedy
USR-1367,846.7,14.0,43,8.4,0.71,0.45,0.065,0.511,0.054,0.03,0.009,0.152,0.014,0.164,Comedy
USR-1368,1018.3,15.0,42,5.0,0.48,0.6,0.048,0.45,0.039,0.011,0.009,0.149,0.01,0.285,Comedy
USR-1369,822.0,25.2,39,5.2,0.75,0.62,0.085,0.35,0.072,0.045,0.0,0.152,0.017,0.279,Comedy
USR-1370,959.4,28.1,32,7.2,0.59,0.55,0.058,0.355,0.011,0.021,0.0,0.151,0.014,0.39,Animation
USR-1371,902.7,26.9,34,7.0,0.61,0.69,0.058,0.35,0.03,0.017,0.016,0.174,0.0,0.355,Animation
USR-1372,901.2,25.8,33,6.1,0.91,0.6,0.072,0.438,0.053,0.034,0.017,0.117,0.001,0.269,Comedy
USR-1373,809.3,30.8,40,8.0,0.68,0.46,0.038,0.283,0.06,0.033,0.009,0.206,0.005,0.366,Animation
USR-1374,667.5,22.3,28,7.6,0.61,0.52,0.052,0.412,0.086,0.03,0.018,0.11,0.007,0.284,Comedy
USR-1375,681.8,29.5,29,8.0,0.43,0.38,0.052,0.535,0.059,0.049,0.0,0.108,0.02,0.176,Comedy
USR-1376,956.4,16.8,40,6.9,0.79,0.54,0.03,0.407,0.038,0.041,0.006,0.112,0.0,0.365,Comedy
USR-1377,852.9,20.5,33,7.7,0.52,0.68,0.097,0.378,0.022,0.034,0.027,0.181,0.006,0.254,Comedy
USR-1378,829.2,16.0,42,6.5,0.55,0.63,0.026,0.413,0.034,0.051,0.013,0.148,0.023,0.293,Comedy
USR-1379,786.4,23.6,29,9.5,0.62,0.72,0.026,0.505,0.03,0.022,0.012,0.103,0.007,0.295,Comedy
USR-1380,804.2,24.8,33,6.0,0.79,0.51,0.077,0.336,0.053,0.042,0.033,0.126,0.015,0.318,Comedy
USR-1381,1007.0,25.6,28,9.5,0.73,0.71,0.056,0.475,0.039,0.037,0.0,0.129,0.007,0.257,Comedy
USR-1382,799.7,25.3,34,7.0,0.63,0.53,0.027,0.517,0.013,0.009,0.017,0.096,0.012,0.31,Comedy
USR-1383,648.8,20.4,25,5.3,0.68,0.73,0.067,0.451,0.034,0.064,0.029,0.112,0.008,0.236,Comedy
USR-1384,961.5,24.0,31,8.6,0.59,0.55,0.074,0.372,0.054,0.021,0.006,0.219,0.016,0.238,Comedy
USR-1385,819.3,17.5,25,7.2,0.66,0.63,0.047,0.46,0.045,0.04,0.018,0.11,0.0,0.28,Comedy
USR-1386,854.7,31.8,38,8.0,0.66,0.73,0.081,0.386,0.041,0.05,0.0,0.109,0.005,0.328,Comedy
USR-1387,1091.1,23.5,38,8.5,0.75,0.53,0.017,0.372,0.053,0.065,0.003,0.15,0.014,0.325,Comedy
USR-1388,846.9,22.6,23,7.4,0.75,0.58,0.06,0.337,0.068,0.038,0.013,0.125,0.014,0.344,Animation
USR-1389,893.4,32.9,42,6.3,0.7,0.7,0.076,0.305,0.046,0.034,0.019,0.181,0.026,0.313,Animation
USR-1390,673.2,18.8,48,8.2,0.61,0.53,0.063,0.401,0.03,0.055,0.02,0.174,0.006,0.251,Comedy
USR-1391,817.0,19.4,34,7.0,0.72,0.39,0.044,0.433,0.021,0.051,0.025,0.131,0.024,0.272,Comedy
USR-1392,941.4,19.5,30,7.8,0.64,0.81,0.054,0.36,0.055,0.034,0.011,0.124,0.004,0.357,Comedy
USR-1393,616.7,24.7,50,4.4,0.54,0.49,0.057,0.353,0.0,0.023,0.021,0.195,0.023,0.327,Comedy
USR-1394,880.1,27.2,26,7.5,0.61,0.57,0.07,0.308,0.038,0.0,0.007,0.154,0.019,0.403,Animation
USR-1395,865.1,28.7,34,6.2,0.66,0.69,0.06,0.319,0.035,0.042,0.018,0.213,0.001,0.312,Comedy
USR-1396,856.2,37.9,35,9.0,0.74,0.48,0.069,0.434,0.012,0.038,0.012,0.059,0.013,0.363,Comedy
USR-1397,1005.6,13.8,42,7.7,0.63,0.43,0.034,0.388,0.024,0.071,0.016,0.18,0.011,0.275,Comedy
USR-1398,900.2,28.0,36,7.3,0.53,0.58,0.043,0.356,0.053,0.045,0.013,0.214,0.015,0.26,Comedy
USR-1399,1071.7,22.2,31,7.6,0.66,0.33,0.038,0.332,0.055,0.082,0.0,0.167,0.01,0.316,Comedy
USR-1400,701.0,22.1,28,5.8,0.66,0.52,0.043,0.418,0.042,0.026,0.0,0.142,0.007,0.321,Comedy
USR-1401,870.4,21.9,31,8.9,0.67,0.58,0.067,0.377,0.044,0.06,0.01,0.154,0.023,0.265,Comedy
USR-1402,862.7,20.5,27,9.4,0.74,0.52,0.055,0.361,0.044,0.031,0.0,0.135,0.01,0.364,Animation
USR-1403,689.6,33.4,34,7.5,0.75,0.36,0.1,0.375,0.063,0.054,0.018,0.134,0.018,0.238,Comedy
USR-1404,993.4,29.2,30,8.9,0.59,0.74,0.055,0.42,0.043,0.011,0.019,0.138,0.008,0.307,Comedy
USR-1405,1198.7,25.1,25,6.3,0.59,0.56,0.054,0.353,0.011,0.047,0.014,0.132,0.028,0.36,Animation
USR-1406,847.4,31.8,41,6.0,0.55,0.72,0.066,0.359,0.092,0.0,0.0,0.254,0.004,0.224,Comedy
USR-1407,925.8,17.4,31,7.0,0.72,0.52,0.029,0.423,0.037,0.027,0.018,0.131,0.003,0.332,Comedy
USR-1408,862.7,18.3,26,7.5,0.79,0.44,0.05,0.359,0.029,0.05,0.031,0.164,0.026,0.291,Comedy
USR-1409,743.0,14.1,32,6.5,0.62,0.58,0.082,0.442,0.017,0.033,0.013,0.206,0.006,0.201,Comedy
USR-1410,576.9,21.5,34,7.6,0.63,0.52,0.048,0.441,0.044,0.017,0.014,0.128,0.024,0.284,Comedy
USR-1411,744.1,25.8,23,7.4,0.8,0.41,0.027,0.54,0.03,0.045,0.01,0.094,0.015,0.239,Comedy
USR-1412,641.2,25.5,35,5.8,0.7,0.73,0.036,0.339,0.081,0.043,0.017,0.142,0.01,0.333,Comedy
USR-1413,1105.6,25.7,27,7.6,0.69,0.48,0.039,0.412,0.031,0.029,0.008,0.142,0.0,0.34,Comedy
USR-1414,832.7,17.9,44,8.0,0.53,0.33,0.055,0.369,0.025,0.044,0.01,0.116,0.011,0.37,Animation
USR-1415,798.1,29.0,37,7.2,0.72,0.71,0.07,0.337,0.055,0.088,0.018,0.123,0.01,0.3,Comedy
USR-1416,983.4,26.2,31,8.4,0.56,0.49,0.023,0.343,0.059,0.063,0.034,0.13,0.022,0.327,Comedy
USR-1417,681.7,28.7,29,5.5,0.54,0.48,0.043,0.305,0.043,0.062,0.0,0.232,0.026,0.289,Comedy
USR-1418,735.0,15.5,33,7.6,0.62,0.34,0.052,0.393,0.053,0.048,0.009,0.039,0.003,0.403,Animation
USR-1419,860.2,26.6,37,5.6,0.59,0.76,0.018,0.376,0.052,0.058,0.0,0.19,0.024,0.282,Comedy
USR-1420,1004.3,19.1,33,5.7,0.63,0.4,0.03,0.423,0.04,0.0,0.023,0.195,0.016,0.274,Comedy
USR-1421,925.3,23.0,32,6.2,0.51,0.56,0.036,0.399,0.062,0.026,0.004,0.153,0.02,0.3,Comedy
USR-1422,887.2,27.7,34,5.9,0.75,0.66,0.031,0.396,0.048,0.028,0.0,0.165,0.014,0.319,Comedy
USR-1423,861.7,25.5,30,6.3,0.76,0.6,0.062,0.414,0.042,0.003,0.019,0.176,0.0,0.285,Comedy
USR-1424,910.0,20.7,31,6.7,0.46,0.54,0.055,0.433,0.078,0.02,0.032,0.144,0.01,0.228,Comedy
USR-1425,880.2,25.0,21,8.0,0.75,0.35,0.046,0.498,0.0,0.0,0.02,0.071,0.0,0.365,Comedy
USR-1426,695.5,17.3,39,6.6,0.57,0.45,0.06,0.313,0.083,0.04,0.012,0.161,0.008,0.323,Animation
USR-1427,856.9,30.8,35,5.1,0.74,0.57,0.08,0.35,0.006,0.053,0.013,0.112,0.019,0.367,Animation
